date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:00	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2217ee8-57b464d2415c4%22	http://mcbeki.com/main/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/fontawesome-webfont3e6e.woff	(from http://mcbeki.com/main/css/font-awesome.min.css)
21:09:06	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-57b464d23f684%22	http://mcbeki.com/main/fonts/fontawesome-webfont.eot?	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/fontawesome-webfontd41d.eot	(from http://mcbeki.com/main/css/font-awesome.min.css)
21:09:13	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-57b464d240624%22	http://mcbeki.com/main/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/fontawesome-webfont3e6e.svg	(from http://mcbeki.com/main/css/font-awesome.min.css)
21:09:28	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-57b464d2415c4%22	http://mcbeki.com/main/fonts/themify.eot?-fvbane	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/themify9f24.eot	(from http://mcbeki.com/main/css/themify-icons.css)
21:09:32	165548/165548	---M--	200	added ('OK')	application/font-sfnt	etag:%22286ac-57b464d2415c4%22	http://mcbeki.com/main/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/fontawesome-webfont3e6e.ttf	(from http://mcbeki.com/main/css/font-awesome.min.css)
21:09:41	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-57b464d2415c4%22	http://mcbeki.com/main/fonts/themify.eot?	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/themifyd41d.eot	(from http://mcbeki.com/main/css/themify-icons.css)
21:09:42	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-57b464d2415c4%22	http://mcbeki.com/main/fonts/themify.woff?-fvbane	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/themify9f24.woff	(from http://mcbeki.com/main/css/themify-icons.css)
21:09:48	234269/234269	---M--	200	added ('OK')	image/svg+xml	etag:%223931d-57b464d2415c4%22	http://mcbeki.com/main/fonts/themify.svg?-fvbane	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/themify9f24.svg	(from http://mcbeki.com/main/css/themify-icons.css)
21:09:57	78584/78584	---M--	200	added ('OK')	application/font-sfnt	etag:%22132f8-57b464d2415c4%22	http://mcbeki.com/main/fonts/themify.ttf?-fvbane	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/fonts/themify9f24.ttf	(from http://mcbeki.com/main/css/themify-icons.css)
21:15:36	7869424/7869424	---M--	200	added ('OK')	image/png	etag:%227813f0-57bb862281251%22	http://mcbeki.com/upload/portfolio/Robinson%20Souttar/1543406734.7.png	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/upload/portfolio/Robinson%20Souttar/1543406734.7.png	(from http://mcbeki.com/single/31)
